,Tensión: L1 (V),Tensión: L2 (V),Tensión: L3 (V),Tensión: L1 - L2 (V),Tensión: L2 - L3 (V),Tensión: L3 - L1 (V),Corriente: L1 (A),Corriente: L2 (A),Corriente: L3 (A),Factor de potencia: L1 +,Factor de potencia: L2 +,Factor de potencia: L3 +,Flicker (Pst): L1 (Pst),Flicker (Pst): L2 (Pst),Flicker (Pst): L3 (Pst),Distorsión armónica: VL1 (%V THD),Distorsión armónica: VL2 (%V THD),Distorsión armónica: VL3 (%V THD),Distorsión armónica: IL1 (%I THD),Distorsión armónica: IL2 (%I THD),Distorsión armónica: IL3 (%I THD),Armónicos IL1: Armónico 2 (%IL1),Armónicos IL1: Armónico 3 (%IL1),Armónicos IL1: Armónico 5 (%IL1),Armónicos IL1: Armónico 6 (%IL1),Armónicos IL1: Armónico 7 (%IL1),Armónicos IL1: Armónico 11 (%IL1),Armónicos IL1: Armónico 13 (%IL1),Armónicos IL2: Armónico 2 (%IL2),Armónicos IL2: Armónico 3 (%IL2),Armónicos IL2: Armónico 5 (%IL2),Armónicos IL2: Armónico 7 (%IL2),Armónicos IL2: Armónico 9 (%IL2),Armónicos IL2: Armónico 11 (%IL2),Armónicos IL2: Armónico 13 (%IL2),Armónicos VL1: Armónico 2 (%VL1),Armónicos VL1: Armónico 3 (%VL1),Armónicos VL1: Armónico 5 (%VL1),Armónicos VL1: Armónico 7 (%VL1),Armónicos VL1: Armónico 9 (%VL1),Armónicos VL1: Armónico 11 (%VL1),Armónicos VL1: Armónico 13 (%VL1),Armónicos VL2: Armónico 2 (%VL2),Armónicos VL2: Armónico 3 (%VL2),Armónicos VL2: Armónico 5 (%VL2),Armónicos VL2: Armónico 7 (%VL2),Armónicos VL2: Armónico 9 (%VL2),Armónicos VL2: Armónico 11 (%VL2),Armónicos VL2: Armónico 13 (%VL2),Armónicos VL3: Armónico 2 (%VL3),Armónicos VL3: Armónico 3 (%VL3),Armónicos VL3: Armónico 5 (%VL3),Armónicos VL3: Armónico 7 (%VL3),Armónicos VL3: Armónico 9 (%VL3),Armónicos VL3: Armónico 11 (%VL3),Armónicos VL3: Armónico 13 (%VL3)
Armónicos IL1: Armónico 2 (%IL1),-0.3524943699774367,-0.35310940901556614,-0.3271262190927728,-0.3516673424396455,-0.35882387623476353,-0.3209518961135823,-0.33553957103811766,0.3275931524522199,0.3245792810502239,-0.3603902884399521,0.03671246268901009,0.02650375010459702,0.02124910869127403,-0.11301468841396804,0.0015367754529577921,-0.23326381633927037,-0.27755224578507326,-0.27554882923412416,0.8680907214050817,0.4789611108866222,0.4165425116331572,1.0,0.798956067534837,0.556311540248221,0.23019304012588868,0.5527772012825014,-0.08930584524191315,-0.3411232330597259,0.00970352019665331,0.39102033956008214,0.47695940272067383,0.49714646669646034,-0.0037614991549742224,-0.06813370500202996,0.3746919582876184,0.01370108908340889,0.14830913372693366,-0.5424084172977878,0.25274423962543374,0.0020526203903720843,-0.4612133054180922,-0.1848792523290652,0.0010412037107792036,-0.4059274979707533,-0.5562248807464819,0.1736209927675085,0.012657207787051754,-0.15824044733021966,-0.4269166517227656,3.5322141913777243e-05,0.46025598675225826,-0.5522604373978096,0.18502390859878956,0.010340246978752684,-0.38159892701515136,-0.07215134488118205
Armónicos IL1: Armónico 3 (%IL1),-0.4729408242490296,-0.45204514772150683,-0.48903381969865606,-0.4587892906375076,-0.4777928388180536,-0.4772776976618802,-0.020262350073571314,0.5825699003963764,0.5690044161142375,-0.43483682002956187,-0.09102565315921979,-0.06840000618111315,-0.022567287002626574,-0.056713565964918486,0.006729605046090569,-0.11252986654723579,-0.17218480482927248,-0.17919624999835967,0.8421062682362811,0.5688050057381704,0.5132506382593445,0.798956067534837,1.0,0.6400118431731887,0.15441463502845748,0.7376989406054695,-0.0555377035837559,-0.1915031391393862,0.020636330934904704,0.6038581129205348,0.5589954771413059,0.5593562985883511,0.05770445281423992,-0.1069932078412304,0.48971794059934975,0.019236089180016076,0.43695333110716306,-0.5758056349383096,0.45608898713813867,0.06470804877703608,-0.6223481297352664,-0.07122130518588822,0.005656331949660867,-0.40286095307015507,-0.5996059437905782,0.38721579914632615,0.20634013861622297,-0.33259481383499984,-0.38081885437778856,0.0093972930759018,0.7095244727945175,-0.5917325458021897,0.3802576247898009,0.05379093100577048,-0.5208795371814327,-0.0369808772798668
Armónicos IL1: Armónico 5 (%IL1),-0.26897584827456356,-0.28421322317436065,-0.29201164172364547,-0.286395288542415,-0.2880188972306431,-0.2710969040129151,0.11659242403751659,0.4303267151858266,0.40290171182111284,-0.35731448586713677,-0.04860797285015203,0.10521197040443743,0.11259167182416223,0.09820901008968264,0.0845979781159958,-0.07953366039980787,-0.12990042488059625,-0.12574764643259334,0.8814880796764822,0.9369519560563402,0.8436464274903028,0.556311540248221,0.6400118431731887,1.0,0.19284718548202542,0.8544582654821208,0.022157663609060022,0.09341745788119002,0.026808978512497625,0.8623989365564045,0.9321482087116486,0.8762567697340478,0.010218207394264937,0.07802633982577664,0.8442935280455273,0.016580671407115936,0.5092488889642528,-0.5519888883638537,0.49277381570696027,0.010847812001032327,-0.5887816921898978,0.16673602571174753,0.003428773301090723,-0.5596926566070136,-0.5745931032981898,0.44048528346120674,0.47356485689488054,-0.2219603175876097,-0.29322407062955785,0.010660003818752399,0.7739438689658603,-0.55251316058188,0.46331352274779974,0.00911698078041268,-0.6096424106219838,0.10693471145029734
Armónicos IL1: Armónico 6 (%IL1),-0.005433180883137866,0.009700749857619657,0.021866395122169466,0.018110982477997393,0.004824247669083061,0.0031721915687836152,-0.0732846861463986,0.039445850313592046,0.027115243784705208,-0.05005768646198269,0.0647228603591496,0.12127208599722067,0.0357769620837588,0.04129392369308924,0.0793089029832672,0.032813512210355965,0.02542654750742963,0.013770473758219727,0.22339497636763292,0.14966378196839683,0.1608385943243116,0.23019304012588868,0.15441463502845748,0.19284718548202542,1.0,0.11470354489516689,-0.012566291225403975,-0.047999701237563176,0.012102668254099091,0.19881969040921016,0.15396258701697446,0.06571352327979346,-0.0032552718360857923,0.031986171642014116,0.2553969666263169,0.0163265359995169,0.16080524083837044,-0.060842161188349266,0.09888788537619438,-0.0035735002195304184,-0.11715125539017517,0.1591362928899118,0.011580849943486876,-0.05787564374120911,-0.05195220064520256,0.09918410430919203,0.21839003716833022,-0.04479717953551809,0.06641548679906029,-0.005861846351717344,0.13925997081467367,-0.03474372310876521,0.06885038460458737,-0.00291754635113399,-0.21461351327764405,-0.01015246885156823
Armónicos IL1: Armónico 7 (%IL1),-0.45178726735638775,-0.45075723212656715,-0.49300411518603665,-0.46104635599304505,-0.4649765900694833,-0.47047026196252756,0.11992213399144462,0.4515291459751013,0.43112301068277253,-0.17354320274440052,0.11393106266344469,0.21847818043594752,-0.03537587495079897,0.007697397466057231,-0.010411802199461853,-0.2347306475131982,-0.2768185535479885,-0.278962940095239,0.8127957445750017,0.8739218038476274,0.8064624166951119,0.5527772012825014,0.7376989406054695,0.8544582654821208,0.11470354489516689,1.0,-0.025685397735451577,0.018675122106377434,0.01619579118619956,0.789723968979524,0.8572253273387437,0.8917846812773915,-0.002261189928462641,0.013029648843900775,0.7241417030046758,0.004577355473773132,0.42763650613548376,-0.6677871869113013,0.34671969918710377,-7.63395847712009e-05,-0.6578994894632728,0.11849752267617077,-0.005322821846373442,-0.4608361193154505,-0.6863220495120023,0.29606527789339465,0.33618666151558707,-0.3227499440778309,-0.27538863488433685,0.003210644108354818,0.8168383627902077,-0.6786036856436614,0.3079708702223148,0.00430504198585668,-0.5640826322755269,0.040805889404965594
Armónicos IL1: Armónico 11 (%IL1),0.037835107236190955,0.028753094559017395,0.02726626124955778,0.03240150097385602,0.029791553033069334,0.03123032908684082,0.11727054670469132,0.04493895921543436,0.04494543411776506,0.01597115952490157,-0.032021250865667684,0.002306305033115961,0.016309083760051257,0.051479935466519695,0.019912415351569554,0.08854104451031763,0.09444046073739427,0.10756347702069065,-0.027882244393609954,0.023385569647415772,0.015082222191837982,-0.08930584524191315,-0.0555377035837559,0.022157663609060022,-0.012566291225403975,-0.025685397735451577,1.0,0.24160076730823538,0.031686985072985834,0.0666518571090873,0.028830835764789814,-0.03855827108141148,-0.001346329822647619,-0.013765446022697274,0.05520864530743295,-0.0019913543732056225,0.05902663088422566,0.029441137451395285,0.11714194021632808,-0.0014779441346368795,-0.05048638199972872,-0.024956122868739567,-0.00198320356414099,-0.023936466475688103,0.030934612947245272,0.12192989785018706,0.0989368756529724,0.03450195681229364,-0.03414584914490866,-0.0024243685186625254,0.016838290663468987,0.03911676285595209,0.14100159581448463,-0.0012066518125907208,-0.003718313645243865,-0.00419890327954996
Armónicos IL1: Armónico 13 (%IL1),-0.004115942152343791,-0.007692484565799128,-0.02337620301817942,-0.00963035351625376,-0.008240743400889136,-0.01812965278466985,0.49981141569818893,0.19508707811170928,0.18872558363782876,0.07187323608482406,-0.09726787104231105,0.01207040398691674,0.018368828056172952,0.1541187054390798,0.124096836191115,0.1228623196934889,0.12159627741764778,0.1384867546768896,-0.0929981774423512,0.12329646653143618,0.08834252541695715,-0.3411232330597259,-0.1915031391393862,0.09341745788119002,-0.047999701237563176,0.018675122106377434,0.24160076730823538,1.0,0.02240938746703241,0.2231890802046748,0.13374267027024953,-0.0009535549704882602,-0.005142601591443696,-0.052580135589690054,0.23055163448520902,0.004801051552692573,0.2094919996644867,0.023894927984057387,0.18413591441804406,-0.00564533127840977,-0.11948487721129791,0.2250246392116464,0.011646222984644957,-0.09143057556976592,0.01777387367776413,0.19619133461097485,0.33465670855524665,0.04245113905064312,0.09251195741752728,0.00996468949986621,0.18125210066113645,0.03471393839611531,0.2167170198992761,-0.004609070843832598,-0.12460277558093964,0.4009428813514007
Armónicos IL2: Armónico 2 (%IL2),0.006552245556282635,0.007341771003374789,0.004440585355923732,0.007153704812749972,0.006229909224496551,0.004930321824905937,0.012938073362900102,0.017560557350698232,0.015312849786919493,-0.018594396582715073,-0.008203498681642636,-0.00239355089259863,0.023649375943663547,0.038303167365084635,0.023144965417077498,0.03124487439768594,0.030123905629218635,0.02904983412376501,0.02183378882436414,0.026057204307074627,0.027842012157981256,0.00970352019665331,0.020636330934904704,0.026808978512497625,0.012102668254099091,0.01619579118619956,0.031686985072985834,0.02240938746703241,1.0,0.03117139379893542,0.02752069724822782,0.009131000241114276,-0.000652169234291961,-0.006668054321678182,0.032540180669370616,0.6277357560343076,0.03080401676501957,0.006489379490246249,0.04540408823514408,-0.0007159238979917514,-0.021170798144841484,0.011107863679984016,0.666000744495301,-0.011594950026736868,0.0027176727898202985,0.04581957657180086,0.04035321766132696,0.003899618543707705,-0.01654042859073762,0.7082663746313611,0.030785138075717963,0.004107236125560454,0.04441916923496931,-0.00058450847291397,-0.014028570817303776,-0.002033970792762295
Armónicos IL2: Armónico 3 (%IL2),-0.22267590558533665,-0.20228694617679072,-0.2642836121954736,-0.21287885699397724,-0.22278640468183442,-0.2546279082731678,0.2696547249293279,0.4655090700324421,0.4286948940367792,-0.24186149515992442,0.013938840351048002,0.19453179000033843,0.07265396606468055,0.1769771841336126,0.16921632185450997,0.0665118590589436,0.032633960695790484,0.01293832033687019,0.7275299304368066,0.8727113575138079,0.8379462690777525,0.39102033956008214,0.6038581129205348,0.8623989365564045,0.19881969040921016,0.789723968979524,0.0666518571090873,0.2231890802046748,0.03117139379893542,1.0,0.8614871615898209,0.721776288076796,0.12380950519524836,0.03137649763416809,0.8678648920601779,0.018053893730504467,0.6908606967027743,-0.435721881703588,0.57494422516119,0.11252135533379105,-0.6686421495344754,0.27079449515002185,0.0061965689049394345,-0.3878373622313797,-0.4518955007888862,0.5624503738441775,0.6724316122895915,-0.3085788675102473,-0.18300596374597972,0.009685296605982892,0.8517881921996315,-0.42005568059760745,0.5311924218083771,0.05910141092876695,-0.7107380715929297,0.12041987272841553
Armónicos IL2: Armónico 5 (%IL2),-0.1217804501405794,-0.12328013926154194,-0.16451357394085447,-0.13520640010471138,-0.13346905742205048,-0.14112472767079215,0.04335107956496879,0.2574464707699422,0.2240160411627101,-0.0750416390434653,0.23579164187133164,0.3744874967646024,0.13046680440321903,0.11479051171428561,0.12490551068270964,0.01858759372095715,-0.016547108145889406,-0.029559830018419383,0.7870388764475169,0.9971341486953562,0.9640569550211935,0.47695940272067383,0.5589954771413059,0.9321482087116486,0.15396258701697446,0.8572253273387437,0.028830835764789814,0.13374267027024953,0.02752069724822782,0.8614871615898209,1.0,0.8726527573922732,0.007570773242860216,0.09790641603350983,0.8514744475431425,0.014044368808988747,0.5165201949641384,-0.4260606618591924,0.48605028728513755,0.007294671046337787,-0.5690371662939737,0.18218051354505171,-7.815862211670412e-06,-0.37818547990888435,-0.4511625031907656,0.47004077887992757,0.5491816440741033,-0.24160355056321292,-0.16670811373608685,0.008442040918178361,0.7486623179736582,-0.43399156194604777,0.45994258579405184,0.0054850979412213,-0.5797535228471511,0.1292369809068102
Armónicos IL2: Armónico 7 (%IL2),-0.38387460870858847,-0.391014770715436,-0.4160918743648465,-0.4026625678538483,-0.39633337381222455,-0.39246237960236013,0.03736659361441615,0.31385722164896646,0.29262893414949703,-0.2243916289568797,0.05963238748572695,0.17476299629252573,0.03705791607579673,0.01300682803163462,-0.03838774237739692,-0.3149912099371725,-0.356441337309935,-0.36634682667371316,0.7804780844429127,0.897295638750562,0.8059926401964598,0.49714646669646034,0.5593562985883511,0.8762567697340478,0.06571352327979346,0.8917846812773915,-0.03855827108141148,-0.0009535549704882602,0.009131000241114276,0.721776288076796,0.8726527573922732,1.0,-0.004982708405040287,0.16846487476255695,0.6474831601547011,-0.0037274985550947996,0.365461039551743,-0.6261275051626836,0.1891600001176977,-0.0037469795894402207,-0.5118976558617561,0.1284297362270163,-0.014001725031544088,-0.5558183393249145,-0.6503834537294145,0.14065163524036034,0.2516002679325228,-0.26375365800675693,-0.2836488821681071,-0.005752755553924098,0.6855882182981867,-0.6460468819038298,0.1551719949227661,0.0006047437310328242,-0.49295667885735595,0.06285303523041579
